:START_ID,:END_ID,:TYPE,specificity
event/95f60f48,place_marsh_country/2539793b,PRODUCES_LOCATION,0.8
event/8e0b3073,place_churchyard/d21e3300,PRODUCES_LOCATION,0.8
event/b33f8cfa,place_churchyard/b84e94dc,PRODUCES_LOCATION,0.8
event/76794ee2,place_churchyard/c3903f2c,PRODUCES_LOCATION,0.8
event/39ee4883,place_marshes/be2c657a,PRODUCES_LOCATION,0.8
event/a5bbf1d3,place_church_porch/566ba69f,PRODUCES_LOCATION,0.8
event/d91cb099,place_church_porch/ba7810e4,PRODUCES_LOCATION,0.8
event/c9ca5f4a,place_church_porch/bf5d87e1,PRODUCES_LOCATION,0.8
event/7ac741c0,place_the_flat_in-shore_among_the_alder-trees_and_pollards/216d97f1,PRODUCES_LOCATION,0.8
event/7b00ba3d,place_church/8788113f,PRODUCES_LOCATION,0.8
event/ef2b637e,place_church/96104d00,PRODUCES_LOCATION,0.8
event/2811f6de,place_high_tombstone/d59749b2,PRODUCES_LOCATION,0.8
event/c1210eb5,place_tombstone/e329cb22,PRODUCES_LOCATION,0.8
event/152d2d26,place_church/7e6e13c0,PRODUCES_LOCATION,0.8
event/6b169491,place_church/3869261c,PRODUCES_LOCATION,0.8
event/e8e12fca,place_church/36130fae,PRODUCES_LOCATION,0.8
event/fdaf1189,place_old_battery/729ef199,PRODUCES_LOCATION,0.8
event/4160d83d,place_old_battery/7d56b53f,PRODUCES_LOCATION,0.8
event/b41894f6,place_the_battery/c24ea136,PRODUCES_LOCATION,0.8
event/3f4563c6,place_the_battery/5378bd51,PRODUCES_LOCATION,0.8
event/cc3ffcf9,place_the_battery/47e74eb0,PRODUCES_LOCATION,0.8
event/21b797bd,place_cold_wet_flat/c4b54dc7,PRODUCES_LOCATION,0.8
event/465574cc,place_low_church_wall/c9b94fd5,PRODUCES_LOCATION,0.8
event/dda2c27b,place_river/a1fac36e,PRODUCES_LOCATION,0.8
event/c460aa25,place_marshes/0eecf1a4,PRODUCES_LOCATION,0.8
event/c081635e,place_the_marshes/041ab293,PRODUCES_LOCATION,0.8
event/8eca0394,place_the_river/5d2eb9aa,PRODUCES_LOCATION,0.8
event/c4563c0d,place_the_sky/8f160583,PRODUCES_LOCATION,0.8
event/f45fa188,place_river/c7f29a93,PRODUCES_LOCATION,0.8
event/2ddd7108,place_river/08315cf3,PRODUCES_LOCATION,0.8
event/be51e614,place_river/19359f63,PRODUCES_LOCATION,0.8
event/8986667a,place_river/be02aec6,PRODUCES_LOCATION,0.8
event/6bcc5e3a,place_river/e177a11f,PRODUCES_LOCATION,0.8
event/8ee9f7cd,place_marsh_country/a8cc14b2,PRODUCES_LOCATION,0.5
event/b9aa27a8,place_marshes/819e6c31,PRODUCES_LOCATION,0.5
event/309e2546,place_marshes/46706472,PRODUCES_LOCATION,0.5
event/d7ede6e2,place_marshes/e39d2257,PRODUCES_LOCATION,0.5
event/c52160ad,place_marshes/6b473ec8,PRODUCES_LOCATION,0.5
event/62df8e22,place_church_porch/17ae43e9,PRODUCES_LOCATION,0.5
event/26905bb9,place_church_porch/968aa6f4,PRODUCES_LOCATION,0.5
event/36cc5f83,place_church_porch/18e6dcbd,PRODUCES_LOCATION,0.5
event/0849133b,place_church_porch/e956e79b,PRODUCES_LOCATION,0.5
event/92134c5e,place_church_porch/ebf084fb,PRODUCES_LOCATION,0.5
event/07c6b73d,place_church_porch/16d85193,PRODUCES_LOCATION,0.5
event/86cf3887,place_church_porch/e6e12888,PRODUCES_LOCATION,0.5
event/59592dbc,place_church_porch/acd6c331,PRODUCES_LOCATION,0.5
event/32c3a10c,place_church_porch/ba6a414a,PRODUCES_LOCATION,0.5
event/3e296ebb,place_church_porch/a0bb95f1,PRODUCES_LOCATION,0.5
event/c346a52c,place_church_porch/6fb3b7b0,PRODUCES_LOCATION,0.5
event/cdd72180,place_church_porch/97cdd198,PRODUCES_LOCATION,0.5
event/7a6e1750,place_church_porch/a33f5705,PRODUCES_LOCATION,0.5
event/9363b59b,place_church_porch/3d743f26,PRODUCES_LOCATION,0.5
event/872967fb,place_church_porch/fd8d95d8,PRODUCES_LOCATION,0.5
event/c46c1fca,place_church_porch/9683ec70,PRODUCES_LOCATION,0.5
event/346a2904,place_church_porch/d4a4a8d9,PRODUCES_LOCATION,0.5
event/98caa49a,place_the_flat_in-shore_among_the_alder-trees_and_pollards/4db2a189,PRODUCES_LOCATION,0.5
event/7be5184a,place_the_flat_in-shore_among_the_alder-trees_and_pollards/784e6f48,PRODUCES_LOCATION,0.5
event/d49dd3b0,place_the_flat_in-shore_among_the_alder-trees_and_pollards/57a2c07f,PRODUCES_LOCATION,0.5
event/4b67ee9c,place_the_flat_in-shore_among_the_alder-trees_and_pollards/bd02f7eb,PRODUCES_LOCATION,0.5
event/9ceafd6e,place_high_tombstone/f349bd56,PRODUCES_LOCATION,0.5
event/1e8db4e6,place_high_tombstone/1a487de5,PRODUCES_LOCATION,0.5
event/5cc19add,place_high_tombstone/54ab1bd0,PRODUCES_LOCATION,0.5
event/42036a63,place_high_tombstone/c4d87b17,PRODUCES_LOCATION,0.5
event/7fe10dd4,place_high_tombstone/b5b847cd,PRODUCES_LOCATION,0.5
event/c52ba2ee,place_high_tombstone/096b1e47,PRODUCES_LOCATION,0.5
event/8155c64d,place_high_tombstone/f45963bd,PRODUCES_LOCATION,0.5
event/1388d863,place_high_tombstone/48603d19,PRODUCES_LOCATION,0.5
event/742d570e,place_high_tombstone/4efc05f6,PRODUCES_LOCATION,0.5
event/d99380f5,place_high_tombstone/87aa9cd6,PRODUCES_LOCATION,0.5
event/12d74065,place_high_tombstone/c4ebfa46,PRODUCES_LOCATION,0.5
event/1e33045e,place_high_tombstone/e3ebe07b,PRODUCES_LOCATION,0.5
event/d06b8de5,place_high_tombstone/0a008cea,PRODUCES_LOCATION,0.5
event/69e9a0c9,place_high_tombstone/3d8682bf,PRODUCES_LOCATION,0.5
event/b35a53f3,place_high_tombstone/80bfae71,PRODUCES_LOCATION,0.5
event/2d06a97c,place_high_tombstone/dc3a5c2e,PRODUCES_LOCATION,0.5
