:START_ID,:END_ID,:TYPE,weight
event/d6942f55,why_self-identification/5301ecdf,PRODUCES_MOTIVATION,1.0
event/71357888,why_family_identity/4415399c,PRODUCES_MOTIVATION,1.0
event/6fd2d3d3,why_authority_of_tombstone_and_sis/f7347f7b,PRODUCES_MOTIVATION,1.0
event/d355313e,why_never_saw_my_father_or_my_moth/a8a7b000,PRODUCES_MOTIVATION,1.0
event/dd9c26e0,why_absence_of_likeness/fb20fd8c,PRODUCES_MOTIVATION,1.0
event/0f128c73,why_tombstone_inscription/5cc873ae,PRODUCES_MOTIVATION,1.0
event/58c4082b,why_childish_reasoning/18f497d3,PRODUCES_MOTIVATION,1.0
event/88d8e171,why_reading_the_inscription/c83b9f9d,PRODUCES_MOTIVATION,1.0
event/d5e64246,why_memory_of_brothers/543574ae,PRODUCES_MOTIVATION,1.0
event/ca319493,why_loss_of_brothers/6f008ebd,PRODUCES_MOTIVATION,1.0
event/2844ae9f,why_personal_belief/a768e62b,PRODUCES_MOTIVATION,1.0
event/cd3412bf,why_personal_belief/f17e154a,PRODUCES_MOTIVATION,1.0
event/2a25e045,why_identity_of_things/fdf61a44,PRODUCES_MOTIVATION,1.0
event/f90effe7,why_memorable_experience/b6d8352b,PRODUCES_MOTIVATION,1.0
event/bcf5b04e,why_realization_of_surroundings/e3bb2f2a,PRODUCES_MOTIVATION,1.0
event/400969cb,why_gaining_knowledge_of_family_hi/e35a5ebf,PRODUCES_MOTIVATION,1.0
event/09fbf03d,why_gaining_knowledge_of_family_hi/08102cda,PRODUCES_MOTIVATION,1.0
event/b843dd0d,why_understanding_the_landscape/0f28594c,PRODUCES_MOTIVATION,1.0
event/450382e4,why_understanding_the_landscape/cb3618d5,PRODUCES_MOTIVATION,1.0
event/b1a5d609,why_understanding_the_landscape/c86ebb92,PRODUCES_MOTIVATION,1.0
event/7d910fc4,why_fear_of_the_unknown/6906423a,PRODUCES_MOTIVATION,1.0
event/47c9eb8f,why_emotional_response_to_fear/dec30ff7,PRODUCES_MOTIVATION,1.0
event/a074f3e7,why_surprise/8f2199e9,PRODUCES_MOTIVATION,1.0
event/ca08d766,why_intimidation/315d65bf,PRODUCES_MOTIVATION,1.0
event/7404b1ce,why_fear/fef2ba9b,PRODUCES_MOTIVATION,1.0
event/fce79bbc,why_anger/f30be17c,PRODUCES_MOTIVATION,1.0
event/ce3203ba,why_fear/4b0e38d4,PRODUCES_MOTIVATION,1.0
event/02470252,why_contextual_description/a94ea4ad,PRODUCES_MOTIVATION,1.0
event/d36d72ee,why_contextual_description/d6e07b9d,PRODUCES_MOTIVATION,1.0
event/24ae454d,why_contextual_description/66014c57,PRODUCES_MOTIVATION,1.0
event/bb8f6c41,why_fear/ab7d47b8,PRODUCES_MOTIVATION,1.0
event/b7572215,why_fear_of_death/50f4c8f8,PRODUCES_MOTIVATION,1.0
event/42c5872b,why_fear/e2e52006,PRODUCES_MOTIVATION,1.0
event/ebf60c1f,why_desperation_for_survival/9f2cab0c,PRODUCES_MOTIVATION,1.0
event/2e49dd2b,why_intimidation/1daf6d63,PRODUCES_MOTIVATION,1.0
event/ccf0a206,why_demand_for_compliance/3434209d,PRODUCES_MOTIVATION,1.0
event/ed063162,why_intimidation/56cb2b46,PRODUCES_MOTIVATION,1.0
event/04521611,why_intimidation/b6df586d,PRODUCES_MOTIVATION,1.0
event/b5a9d2cf,why_narrative_progression/9d120035,PRODUCES_MOTIVATION,1.0
event/384ab265,why_narrative_progression/201badcb,PRODUCES_MOTIVATION,1.0
event/acdf1572,why_narrative_progression/f69bd679,PRODUCES_MOTIVATION,1.0
event/dc39c907,why_curiosity/c54a8632,PRODUCES_MOTIVATION,1.0
event/f6f7de8a,why_intimidation/c5801434,PRODUCES_MOTIVATION,1.0
event/494f12cd,why_search_for_resources/7fbbd9b3,PRODUCES_MOTIVATION,1.0
event/d28e2f57,why_disappointment/2dcd1793,PRODUCES_MOTIVATION,1.0
event/0a920a1e,why_suddenness_of_event/d8330dc3,PRODUCES_MOTIVATION,1.0
event/b749d876,why_disorientation/fe304bf9,PRODUCES_MOTIVATION,1.0
event/be94e2ee,why_forceful_action_by_man/ed0c2060,PRODUCES_MOTIVATION,1.0
event/800cd1e9,why_fear/92914f19,PRODUCES_MOTIVATION,1.0
event/3d91cdba,why_hunger/6851419a,PRODUCES_MOTIVATION,1.0
event/fd9b8d4f,why_intimidation/36ad4fea,PRODUCES_MOTIVATION,1.0
event/e26baea0,why_self-comparison/4118af59,PRODUCES_MOTIVATION,1.0
event/7430971b,why_self-assessment/3f49cba5,PRODUCES_MOTIVATION,1.0
event/22033131,why_threatening_demeanor/14c26f94,PRODUCES_MOTIVATION,1.0
event/ccddc861,why_intimidation/6f556b5d,PRODUCES_MOTIVATION,1.0
event/6dde1a71,why_hunger/592207bb,PRODUCES_MOTIVATION,1.0
event/7329b643,why_fear_of_loss/789bc31b,PRODUCES_MOTIVATION,1.0
event/c1eecfe7,why_to_keep_myself_upon_it/54e8ce12,PRODUCES_MOTIVATION,1.0
event/3c804823,why_to_keep_myself_from_crying/ffc4c7bb,PRODUCES_MOTIVATION,1.0
event/f315960c,why_inquiry/28302e42,PRODUCES_MOTIVATION,1.0
event/80560a58,why_fear/d5956bbe,PRODUCES_MOTIVATION,1.0
event/b4bd55d6,why_fear/381a1bf6,PRODUCES_MOTIVATION,1.0
event/f28648f6,why_fear/3896515a,PRODUCES_MOTIVATION,1.0
event/3d73baf6,why_timidity/371c56bb,PRODUCES_MOTIVATION,1.0
event/2b454d74,why_family_connection/953627bf,PRODUCES_MOTIVATION,1.0
event/7f17058d,why_surprise/039d4a9e,PRODUCES_MOTIVATION,1.0
event/f7e949bf,why_curiosity/52f9c6ca,PRODUCES_MOTIVATION,1.0
event/4bfd496f,why_narrative_progression/ffb98fba,PRODUCES_MOTIVATION,1.0
event/8e34252a,why_social_interaction/e6b52f12,PRODUCES_MOTIVATION,1.0
event/5e1e74e8,why_intimidation/6b87ebbe,PRODUCES_MOTIVATION,1.0
event/cb0a2ae1,why_uncertainty/da247f0c,PRODUCES_MOTIVATION,1.0
event/f3dc4a74,why_narrative_progression/bb876dc2,PRODUCES_MOTIVATION,1.0
event/fdd1fca7,why_curiosity/eea3e857,PRODUCES_MOTIVATION,1.0
event/b03a14e6,why_self-assessment/b2c118a1,PRODUCES_MOTIVATION,1.0
event/7ba0e780,why_curiosity/7d3bd6e3,PRODUCES_MOTIVATION,1.0
event/177fddeb,why_intention_to_confront/15f22ce5,PRODUCES_MOTIVATION,1.0
event/b0003108,why_control/e2a8240e,PRODUCES_MOTIVATION,1.0
event/5ef63070,why_assert_dominance/25ec741b,PRODUCES_MOTIVATION,1.0
event/dff08ed3,why_intimidation/7474fbad,PRODUCES_MOTIVATION,1.0
event/7e800e01,why_fear/14065139,PRODUCES_MOTIVATION,1.0
event/22c61701,why_intimidation/3e374260,PRODUCES_MOTIVATION,1.0
event/6a3eebb0,why_curiosity/8dbfc5b3,PRODUCES_MOTIVATION,1.0
event/14e68cdd,why_greater_sense_of_helplessness/b3f64362,PRODUCES_MOTIVATION,1.0
event/b8d32c99,why_greater_sense_of_danger/d3540e92,PRODUCES_MOTIVATION,1.0
event/c5cce3bf,why_to_give_a_greater_sense_of_hel/dc20ad2d,PRODUCES_MOTIVATION,1.0
event/0f56388d,why_demand_for_assistance/58f7e8d6,PRODUCES_MOTIVATION,1.0
event/baf3c3ea,why_demand_for_assistance/c113886f,PRODUCES_MOTIVATION,1.0
event/67f6f073,why_coercion/8a252713,PRODUCES_MOTIVATION,1.0
event/6ffa6909,why_intimidation/fcd029e9,PRODUCES_MOTIVATION,1.0
event/ffdb8b07,why_fear/a4561410,PRODUCES_MOTIVATION,1.0
event/56c464c0,why_fear/53906faa,PRODUCES_MOTIVATION,1.0
event/03993360,why_fear/9e29b99c,PRODUCES_MOTIVATION,1.0
event/a44ba170,why_need_for_support/2d24fd34,PRODUCES_MOTIVATION,1.0
event/ff6c9b7d,why_hope/9693d6ac,PRODUCES_MOTIVATION,1.0
event/bf1c45e7,why_hope/1c6938e3,PRODUCES_MOTIVATION,1.0
event/ca78f10d,why_surprise/d6349702,PRODUCES_MOTIVATION,1.0
event/c8ae6c23,why_surprise/4fc3f0cf,PRODUCES_MOTIVATION,1.0
event/2dfebcc5,why_control/f6f49cac,PRODUCES_MOTIVATION,1.0
event/1dfccc4e,why_balance/048149fd,PRODUCES_MOTIVATION,1.0
event/73298ec4,why_intimidation/70e24198,PRODUCES_MOTIVATION,1.0
event/595975b5,why_survival_instinct/6919cdc1,PRODUCES_MOTIVATION,1.0
event/fd23e7ef,why_fear/244febcc,PRODUCES_MOTIVATION,1.0
event/3f262f97,why_intimidation/aaf50d15,PRODUCES_MOTIVATION,1.0
event/0659489e,why_intimidation/80fe97ed,PRODUCES_MOTIVATION,1.0
event/1a0941d9,why_intimidation/4f0a5c19,PRODUCES_MOTIVATION,1.0
event/cb7d4760,why_understanding_of_the_young_man/2e5140b0,PRODUCES_MOTIVATION,1.0
event/51d9c03e,why_desire_for_safety/75bdff16,PRODUCES_MOTIVATION,1.0
event/4a27d972,why_desire_for_safety/92d1c9cf,PRODUCES_MOTIVATION,1.0
event/8003d854,why_seeking_comfort/4d43aa66,PRODUCES_MOTIVATION,1.0
event/0f3c95e7,why_seeking_comfort/40606974,PRODUCES_MOTIVATION,1.0
event/395ac3e5,why_seeking_comfort/f43bc12c,PRODUCES_MOTIVATION,1.0
event/1bcb3259,why_desire_for_safety/461f7c85,PRODUCES_MOTIVATION,1.0
event/75089745,why_predatory_instinct/ff5b2b1c,PRODUCES_MOTIVATION,1.0
event/59347b38,why_predatory_instinct/75f429f8,PRODUCES_MOTIVATION,1.0
event/14d5c2f2,why_desire_to_protect/0bbd901f,PRODUCES_MOTIVATION,1.0
event/620d84b3,why_struggle_to_protect/646e50d3,PRODUCES_MOTIVATION,1.0
event/533d6544,why_emotional_strain/f574b145,PRODUCES_MOTIVATION,1.0
event/6b11a7f6,why_seeking_response/28687a27,PRODUCES_MOTIVATION,1.0
event/b9fe52b2,why_commitment_to_help/4019fcb9,PRODUCES_MOTIVATION,1.0
event/dae714a2,why_commitment_to_help/cda9c95c,PRODUCES_MOTIVATION,1.0
event/b291bca5,why_commitment_to_help/c78c2e19,PRODUCES_MOTIVATION,1.0
event/b934ca9e,why_intimidation/34ae5725,PRODUCES_MOTIVATION,1.0
event/f6300930,why_reminder_of_responsibility/f1d0b14b,PRODUCES_MOTIVATION,1.0
event/e315774a,why_reminder_of_a_significant_pers/68052bc6,PRODUCES_MOTIVATION,1.0
event/92bd8d2f,why_directive_from_another/3ccdc3c3,PRODUCES_MOTIVATION,1.0
event/1c7b5f71,why_desire_for_transformation/e4835183,PRODUCES_MOTIVATION,1.0
event/315c8c62,why_awareness_of_surroundings/60b06c7a,PRODUCES_MOTIVATION,1.0
event/f9273399,why_fear/427a8221,PRODUCES_MOTIVATION,1.0
event/0568dc94,why_survival_instinct/df0cee0a,PRODUCES_MOTIVATION,1.0
event/8b80a34d,why_curiosity/dc1b8a49,PRODUCES_MOTIVATION,1.0
event/3e20d908,why_fear/71881412,PRODUCES_MOTIVATION,1.0
event/e584b274,why_fear/fc5566f6,PRODUCES_MOTIVATION,1.0
event/a7ece1ff,why_curiosity/7392cd7e,PRODUCES_MOTIVATION,1.0
event/bfd206ef,why_desire_to_leave/be112fba,PRODUCES_MOTIVATION,1.0
event/8cc974c6,why_urgency_to_escape/afff39b3,PRODUCES_MOTIVATION,1.0
event/b6a0e94f,why_concern_for_the_man/adbc5dd3,PRODUCES_MOTIVATION,1.0
event/5f12fee2,why_curiosity/e34fca7b,PRODUCES_MOTIVATION,1.0
event/70d06578,why_cold_or_discomfort/47be36f3,PRODUCES_MOTIVATION,1.0
event/43e60f75,why_navigating_difficult_terrain/00b7b918,PRODUCES_MOTIVATION,1.0
event/ebf9eac3,why_curiosity/e0a676c6,PRODUCES_MOTIVATION,1.0
event/868c6b7c,why_observation/cc70fb43,PRODUCES_MOTIVATION,1.0
event/d533f501,why_observation/110af005,PRODUCES_MOTIVATION,1.0
event/d3af896c,why_observation/1e55aad1,PRODUCES_MOTIVATION,1.0
event/d0077e45,why_curiosity/ad83d1d7,PRODUCES_MOTIVATION,1.0
event/4744321f,why_curiosity/562848a8,PRODUCES_MOTIVATION,1.0
event/c9c5ab1f,why_narrative_progression/1be4df8e,PRODUCES_MOTIVATION,1.0
event/39ed8065,why_fear/a11e0be6,PRODUCES_MOTIVATION,1.0
event/c0e471b5,why_fear/408a862c,PRODUCES_MOTIVATION,1.0
event/a5638b9d,why_curiosity/1c87b34e,PRODUCES_MOTIVATION,1.0
event/8d02e71c,why_curiosity/8b9df817,PRODUCES_MOTIVATION,1.0
event/19dcf0b9,why_fear/df2bf3bd,PRODUCES_MOTIVATION,1.0
event/635a3378,why_relief/9ff3775b,PRODUCES_MOTIVATION,1.0
event/6e24dea5,why_fear/c86f3d2d,PRODUCES_MOTIVATION,1.0
event/cab104f0,why_fear/f1df259b,PRODUCES_MOTIVATION,1.0
