:START_ID,:END_ID,:TYPE,strength
event/fce79bbc,agent_little_devil/773eff78,PRODUCES_PATIENT,0.5
event/bb8f6c41,agent_pip/dfb5393f,PRODUCES_PATIENT,0.5
event/b7572215,agent_magwitch/b6e66229,PRODUCES_PATIENT,0.0
event/ebf60c1f,agent_magwitch/52eb0f6b,PRODUCES_PATIENT,0.0
event/2e49dd2b,agent_man/ff446b64,PRODUCES_PATIENT,0.5
event/ccf0a206,agent_pip/3c4fb8e0,PRODUCES_PATIENT,0.5
event/ed063162,agent_pip/e34c183f,PRODUCES_PATIENT,0.5
event/04521611,agent_pip/3308361f,PRODUCES_PATIENT,0.5
event/dc39c907,agent_pip/3690baff,PRODUCES_PATIENT,0.5
event/f6f7de8a,agent_pip/b1cc6f18,PRODUCES_PATIENT,0.5
event/494f12cd,agent_pip/11d401d8,PRODUCES_PATIENT,0.5
event/fd9b8d4f,agent_pip/71ecf67c,PRODUCES_PATIENT,0.5
event/f315960c,agent_pip/9ee35254,PRODUCES_PATIENT,0.5
event/2b454d74,agent_georgiana/ea396671,PRODUCES_PATIENT,0.5
event/5e1e74e8,agent_pip/85613eab,PRODUCES_PATIENT,0.5
event/fdd1fca7,agent_pip/85192563,PRODUCES_PATIENT,0.5
event/7ba0e780,agent_pip/adec46fc,PRODUCES_PATIENT,0.5
event/b0003108,agent_pip/3eaa92e4,PRODUCES_PATIENT,0.5
event/5ef63070,agent_pip/bdd3d970,PRODUCES_PATIENT,0.5
event/dff08ed3,agent_pip/85461cdc,PRODUCES_PATIENT,0.5
event/7e800e01,agent_magwitch/0b4d7bfd,PRODUCES_PATIENT,0.8
event/22c61701,agent_pip/8855212e,PRODUCES_PATIENT,0.5
event/6a3eebb0,agent_pip/433fad13,PRODUCES_PATIENT,0.5
event/c5cce3bf,agent_pip/86daa464,PRODUCES_PATIENT,0.8
event/0f56388d,agent_pip/143f7cc3,PRODUCES_PATIENT,0.5
event/baf3c3ea,agent_pip/338342a8,PRODUCES_PATIENT,0.5
event/67f6f073,agent_pip/100dc14c,PRODUCES_PATIENT,0.5
event/6ffa6909,agent_pip/dccdae8d,PRODUCES_PATIENT,0.5
event/03993360,agent_magwitch/8428421b,PRODUCES_PATIENT,1.0
event/a44ba170,agent_magwitch/24dedb2c,PRODUCES_PATIENT,1.0
event/2dfebcc5,agent_pip/9ed965c4,PRODUCES_PATIENT,0.8
event/73298ec4,agent_pip/a0d284c1,PRODUCES_PATIENT,0.5
event/595975b5,agent_pip/a3a16fbf,PRODUCES_PATIENT,0.5
event/fd23e7ef,agent_pip/9468835f,PRODUCES_PATIENT,0.5
event/75089745,agent_boy/a65ebb34,PRODUCES_PATIENT,0.5
event/59347b38,agent_boy/583c390e,PRODUCES_PATIENT,0.5
event/14d5c2f2,agent_young_man/304cbaea,PRODUCES_PATIENT,0.8
event/14d5c2f2,agent_boy/c1e3762f,PRODUCES_PATIENT,0.5
event/620d84b3,agent_young_man/ca0601e2,PRODUCES_PATIENT,0.8
event/6b11a7f6,agent_boy/f3044b12,PRODUCES_PATIENT,0.5
event/b9fe52b2,agent_magwitch/db9fa8bc,PRODUCES_PATIENT,0.5
event/dae714a2,agent_magwitch/ecb0fda7,PRODUCES_PATIENT,0.5
event/8b80a34d,agent_unknown_man/9efa3c45,PRODUCES_PATIENT,0.5
event/3e20d908,agent_magwitch/4d030186,PRODUCES_PATIENT,0.5
event/e584b274,agent_dead_people/2d711213,PRODUCES_PATIENT,0.5
event/5f12fee2,agent_magwitch/e62e4cd2,PRODUCES_PATIENT,0.6
event/ce3203ba,agent_little_devil/1168da11,PRODUCES_PATIENT,0.5
event/02470252,agent_little_devil/b5c8ecd8,PRODUCES_PATIENT,0.5
event/d36d72ee,agent_little_devil/941f9e55,PRODUCES_PATIENT,0.5
event/24ae454d,agent_little_devil/88acd226,PRODUCES_PATIENT,0.5
