:ID,factor
why_lack_of_personal_knowledge_abo/25da85e2,Lack of personal knowledge about parents
why_interpretation_of_tombstone/6d4daaf9,Interpretation of tombstone
why_interpretation_of_the_inscript/5452dbff,Interpretation of the inscription
why_childish_conclusion/eda0e729,Childish conclusion
why_nostalgia_for_his_brothers/7864abde,Nostalgia for his brothers
why_nostalgia_for_his_brothers/e2d2a393,Nostalgia for his brothers
why_nostalgia_for_his_brothers/5ef64a74,Nostalgia for his brothers
why_sorrow_for_his_brothers'_fate/ed4013ce,Sorrow for his brothers' fate
why_fear_of_the_bleak_place/d78843b4,Fear of the bleak place
why_fear_of_the_wind/e22f40ae,Fear of the wind
why_fear_of_the_sea/7ab19c7e,Fear of the sea
why_anger/66904eac,Anger
why_desire_to_instill_fear/d46b7fc8,Desire to instill fear
why_fear_of_being_captured/eaf6c6aa,Fear of being captured
why_state_of_poverty/1140078e,State of poverty
why_state_of_poverty/500ddb73,State of poverty
why_state_of_poverty/84690948,State of poverty
why_exposure_to_elements/7ff6c0c0,Exposure to elements
why_exposure_to_elements/725736d9,Exposure to elements
why_injury_from_environment/99035927,Injury from environment
why_injury_from_environment/1db3eb88,Injury from environment
why_injury_from_environment/c2c4462f,Injury from environment
why_injury_from_environment/fd329a7f,Injury from environment
why_injury/1f424086,Injury
why_cold/3d89f718,Cold
why_fear/c7856209,Fear
why_anger/518a7ce2,Anger
why_fear/7f1dbee6,Fear
why_anger/d63dc67d,Anger
why_fear/ccb8b899,Fear
why_cold/f0616f84,Cold
why_fear/0610b269,Fear
why_intimidation/739a94b6,Intimidation
why_fear/bdb0dd43,Fear
why_fear_of_being_harmed/5b200f62,Fear of being harmed
why_desperation/1587a617,Desperation
why_demand_for_compliance/4c0d7270,Demand for compliance
why_fear_of_abel_magwitch/130b4a28,Fear of Abel Magwitch
why_intention_to_intimidate/9cd5a6d0,Intention to intimidate
why_hunger/16f084ed,Hunger
why_threatening_context/1925c6fd,Threatening context
why_threatening_tone/f4347ee4,Threatening tone
why_to_keep_myself_upon_it/b50a22c7,To keep myself upon it
why_to_keep_myself_from_crying/20284835,To keep myself from crying
why_desire_to_communicate/745da4fa,Desire to communicate
why_clarification_of_relationship/805695b6,Clarification of relationship
why_curiosity/cd7c4d64,Curiosity
why_threatening_demeanor/50282b02,Threatening demeanor
why_intimidation/72817399,Intimidation
why_power_dynamics/db5fcdda,Power dynamics
why_intimidation/c57c1402,Intimidation
why_focus_on_philip_pirrip/22e78c2a,Focus on Philip Pirrip
why_desire_to_confront_philip_pirr/11a887b7,Desire to confront Philip Pirrip
why_control_over_philip_pirrip/29b6c962,Control over Philip Pirrip
why_intimidation/fc0ebd30,Intimidation
why_power_dynamics/2f43163f,Power dynamics
why_intimidation/0b025f21,Intimidation
why_assertion_of_dominance/c77127ba,Assertion of dominance
why_fear/1ba503fa,Fear
