:START_ID,:END_ID,:TYPE,strength
agent_philip_pirrip/01ef5d82,event/793fd34e,ACTS_IN,1.0
agent_philip_pirrip/90a66cd8,event/b06fcd24,ACTS_IN,1.0
agent_philip_pirrip/a4dd4fab,event/c6d0a3ff,ACTS_IN,1.0
agent_philip_pirrip/70cf1ef0,event/b66205b0,ACTS_IN,1.0
agent_unnamed_man/2e39e345,event/b44d4656,ACTS_IN,1.0
agent_unnamed_man/ccad6cbb,event/5448e3cf,ACTS_IN,1.0
agent_philip_pirrip/0af35462,event/cb81917f,ACTS_IN,1.0
agent_philip_pirrip/ed339902,event/5e73b3ca,ACTS_IN,1.0
agent_unnamed_man/0e355d81,event/5e73b3ca,ACTS_IN,1.0
agent_philip_pirrip/28135b46,event/9ad01cd2,ACTS_IN,1.0
agent_unnamed_man/f6e8c263,event/3ceb5658,ACTS_IN,1.0
agent_philip_pirrip/a945c1af,event/3ceb5658,ACTS_IN,1.0
agent_unnamed_man/34627b03,event/9480ac17,ACTS_IN,1.0
agent_unnamed_man/d10c6ac9,event/32240244,ACTS_IN,1.0
agent_philip_pirrip/dc9e3f40,event/32240244,ACTS_IN,1.0
agent_philip_pirrip/b46b2231,event/f05b6e79,ACTS_IN,1.0
agent_unnamed_man/4136cbcd,event/fc50dee9,ACTS_IN,1.0
agent_philip_pirrip/3eb6534e,event/fc50dee9,ACTS_IN,1.0
agent_philip_pirrip/eb26f990,event/2548cc95,ACTS_IN,1.0
agent_unnamed_man/613bc28c,event/16febc98,ACTS_IN,1.0
agent_unnamed_man/41c44d3a,event/a30e9de2,ACTS_IN,1.0
agent_philip_pirrip/ada250a9,event/a30e9de2,ACTS_IN,1.0
agent_unnamed_man/d7c5a6a8,event/86d2696c,ACTS_IN,1.0
agent_philip_pirrip/5d03cf08,event/86d2696c,ACTS_IN,1.0
agent_philip_pirrip/79243e87,event/cce98a3d,ACTS_IN,1.0
agent_unnamed_man/69a6dd6d,event/191bead5,ACTS_IN,1.0
agent_unnamed_man/a860b5f8,event/245c5059,ACTS_IN,1.0
agent_unnamed_man/ccfbe8b2,event/7311ba2f,ACTS_IN,1.0
agent_philip_pirrip/bec36c72,event/361affd3,ACTS_IN,1.0
agent_unnamed_man/3723f914,event/3bb5d2fa,ACTS_IN,1.0
agent_philip_pirrip/7e8c8ba6,event/98b80e9a,ACTS_IN,1.0
agent_unnamed_man/5cb35073,event/d634fd0a,ACTS_IN,1.0
agent_philip_pirrip/5652f51e,event/254790fd,ACTS_IN,1.0
agent_joe_gargery/7895d4e5,event/0413d871,ACTS_IN,1.0
agent_philip_pirrip/ee4f0d86,event/0413d871,ACTS_IN,1.0
agent_joe_gargery/aeb8770d,event/0413d871,ACTS_IN,1.0
agent_joe_gargery/73659898,event/0e96b5c8,ACTS_IN,1.0
agent_philip_pirrip/7d9f8d82,event/0e96b5c8,ACTS_IN,1.0
agent_joe_gargery/7aeacb41,event/b79e8231,ACTS_IN,1.0
agent_philip_pirrip/ae9480c1,event/b79e8231,ACTS_IN,1.0
agent_joe_gargery/3ab1c2be,event/3c9f6fa1,ACTS_IN,1.0
agent_joe_gargery/fafba35a,event/de1c9ac7,ACTS_IN,1.0
agent_philip_pirrip/b8f7b476,event/f9f2d552,ACTS_IN,1.0
agent_joe_gargery/810e8c28,event/d3219dae,ACTS_IN,1.0
agent_joe_gargery/e10d03dd,event/75d7d346,ACTS_IN,1.0
agent_joe_gargery/a282b9a4,event/c1258294,ACTS_IN,1.0
agent_joe_gargery/701578c8,event/619ac9d8,ACTS_IN,1.0
agent_joe_gargery/c38cc43b,event/05e19e5c,ACTS_IN,1.0
agent_philip_pirrip/2ec22553,event/028d1d7d,ACTS_IN,1.0
agent_joe_gargery/dd0aa8a9,event/cb945c75,ACTS_IN,1.0
agent_philip_pirrip/a92dad5f,event/e0c93e9e,ACTS_IN,1.0
agent_joe_gargery/09512efc,event/2b23369f,ACTS_IN,1.0
agent_joe_gargery/90935be4,event/63807daa,ACTS_IN,1.0
agent_joe_gargery/fec98faf,event/be15c4bd,ACTS_IN,1.0
agent_joe_gargery/5ff1d9b1,event/d49640b9,ACTS_IN,1.0
agent_philip_pirrip/bb3e6c78,event/7a769ef2,ACTS_IN,1.0
agent_joe_gargery/f978502c,event/8c76108f,ACTS_IN,1.0
agent_philip_pirrip/9aa0a772,event/8c76108f,ACTS_IN,1.0
agent_joe_gargery/ca6f6cdf,event/e2c634ff,ACTS_IN,1.0
agent_joe_gargery/57e974df,event/8fd765c3,ACTS_IN,1.0
agent_joe_gargery/c8040c8b,event/bb59ccdd,ACTS_IN,1.0
agent_joe_gargery/8b74eaa1,event/3655a6c5,ACTS_IN,1.0
agent_joe_gargery/045c7c99,event/4652812a,ACTS_IN,1.0
agent_joe_gargery/1a54c9e6,event/fa0b2e14,ACTS_IN,1.0
agent_joe_gargery/03b33332,event/969b94d7,ACTS_IN,1.0
agent_joe_gargery/fdb4513e,event/8f3c8860,ACTS_IN,1.0
agent_joe_gargery/8db7cef2,event/4cd4ae28,ACTS_IN,1.0
agent_philip_pirrip/1fcd9b7c,event/31174efd,ACTS_IN,1.0
agent_philip_pirrip/318293f9,event/17228152,ACTS_IN,1.0
agent_philip_pirrip/dc0639b0,event/fed79c6f,ACTS_IN,1.0
agent_philip_pirrip/71eb42bd,event/6868e9c8,ACTS_IN,1.0
agent_philip_pirrip/1b1f02f6,event/a5c82ad2,ACTS_IN,1.0
agent_joe_gargery/ecd5267e,event/b678af2e,ACTS_IN,1.0
agent_joe_gargery/9f00228b,event/40db35fe,ACTS_IN,1.0
agent_joe_gargery/e0916301,event/962edf62,ACTS_IN,1.0
agent_joe_gargery/ae3bf86c,event/062ca6fd,ACTS_IN,1.0
agent_joe_gargery/d3f42110,event/adf0a5c6,ACTS_IN,1.0
agent_philip_pirrip/8c5b0572,event/adf0a5c6,ACTS_IN,1.0
agent_philip_pirrip/c73c4701,event/fda6132c,ACTS_IN,1.0
agent_philip_pirrip/f0b5ec85,event/a5817c0c,ACTS_IN,1.0
agent_philip_pirrip/97e0dbe1,event/7ab464ba,ACTS_IN,1.0
agent_philip_pirrip/96a6f39e,event/81f41bc1,ACTS_IN,1.0
agent_philip_pirrip/1033031c,event/93eeb5f5,ACTS_IN,1.0
agent_philip_pirrip/2cd30d27,event/8e794986,ACTS_IN,1.0
agent_philip_pirrip/3aaee84e,event/d351d1bd,ACTS_IN,1.0
agent_philip_pirrip/2e16b182,event/f56428c6,ACTS_IN,1.0
agent_philip_pirrip/08110a53,event/d02bdce3,ACTS_IN,1.0
agent_philip_pirrip/8c2ec16a,event/cd844b64,ACTS_IN,1.0
agent_philip_pirrip/e9523b5b,event/0cd19d49,ACTS_IN,1.0
agent_philip_pirrip/da6c5896,event/db237e50,ACTS_IN,1.0
agent_unnamed_man/cd59f6f2,event/b6ea8585,ACTS_IN,1.0
agent_philip_pirrip/129d4937,event/45550e6b,ACTS_IN,1.0
agent_unnamed_man/7b1a5ec8,event/45550e6b,ACTS_IN,1.0
agent_philip_pirrip/5bef0b47,event/67ded4da,ACTS_IN,1.0
agent_unnamed_man/568b4f0b,event/67ded4da,ACTS_IN,1.0
agent_philip_pirrip/aa68d871,event/f6f2896b,ACTS_IN,1.0
agent_unnamed_man/49141188,event/f6f2896b,ACTS_IN,1.0
agent_philip_pirrip/c82d73ee,event/56f3e378,ACTS_IN,1.0
agent_unnamed_man/58f8142b,event/56f3e378,ACTS_IN,1.0
agent_unnamed_man/591e628f,event/2e8c0853,ACTS_IN,1.0
agent_unnamed_man/6d8a4b65,event/cf22f232,ACTS_IN,1.0
agent_philip_pirrip/444f9d8f,event/cf22f232,ACTS_IN,1.0
agent_philip_pirrip/1fc59506,event/cd7dfbd7,ACTS_IN,1.0
agent_unnamed_man/ccbe6b6d,event/cd7dfbd7,ACTS_IN,1.0
agent_philip_pirrip/3b52f004,event/33643d45,ACTS_IN,1.0
agent_unnamed_man/da4f703c,event/7aa98aef,ACTS_IN,1.0
agent_unnamed_man/75d1302f,event/7ffbc140,ACTS_IN,1.0
agent_unnamed_man/a21025e3,event/dc9930c9,ACTS_IN,1.0
agent_philip_pirrip/45b5aeea,event/f7d3a675,ACTS_IN,1.0
agent_unnamed_man/4d3536b6,event/5be9aaaa,ACTS_IN,1.0
agent_philip_pirrip/2543f4e4,event/84c2863b,ACTS_IN,1.0
agent_unnamed_man/03f7a844,event/03252d53,ACTS_IN,1.0
agent_unnamed_man/0c8e18ad,event/70a62352,ACTS_IN,1.0
agent_unnamed_man/92a6726a,event/fc8d44b5,ACTS_IN,1.0
agent_philip_pirrip/e1df926a,event/b78061f6,ACTS_IN,1.0
agent_unnamed_man/e256c3a2,event/ca994bc1,ACTS_IN,1.0
agent_philip_pirrip/d78b27e0,event/b2ea6ca8,ACTS_IN,1.0
agent_philip_pirrip/669fad41,event/da91b58f,ACTS_IN,1.0
agent_unnamed_man/682176df,event/49514183,ACTS_IN,1.0
agent_philip_pirrip/d7dd5466,event/ac83c582,ACTS_IN,1.0
agent_unnamed_man/6e8bd3f2,event/68be983c,ACTS_IN,1.0
agent_unnamed_man/f074afc5,event/088fd087,ACTS_IN,1.0
