:START_ID,:END_ID,:TYPE
event/793fd34e,event/b06fcd24,FOLLOWS
event/b06fcd24,event/c6d0a3ff,FOLLOWS
event/c6d0a3ff,event/b66205b0,FOLLOWS
event/b66205b0,event/b44d4656,FOLLOWS
event/b44d4656,event/5448e3cf,FOLLOWS
event/5448e3cf,event/cb81917f,FOLLOWS
event/cb81917f,event/5e73b3ca,FOLLOWS
event/5e73b3ca,event/9ad01cd2,FOLLOWS
event/9ad01cd2,event/3ceb5658,FOLLOWS
event/3ceb5658,event/9480ac17,FOLLOWS
event/9480ac17,event/32240244,FOLLOWS
event/32240244,event/f05b6e79,FOLLOWS
event/f05b6e79,event/fc50dee9,FOLLOWS
event/fc50dee9,event/2548cc95,FOLLOWS
event/2548cc95,event/16febc98,FOLLOWS
event/16febc98,event/a30e9de2,FOLLOWS
event/a30e9de2,event/86d2696c,FOLLOWS
event/86d2696c,event/cce98a3d,FOLLOWS
event/cce98a3d,event/191bead5,FOLLOWS
event/191bead5,event/245c5059,FOLLOWS
event/245c5059,event/7311ba2f,FOLLOWS
event/7311ba2f,event/361affd3,FOLLOWS
event/361affd3,event/3bb5d2fa,FOLLOWS
event/3bb5d2fa,event/98b80e9a,FOLLOWS
event/98b80e9a,event/d634fd0a,FOLLOWS
event/d634fd0a,event/254790fd,FOLLOWS
event/0413d871,event/0e96b5c8,FOLLOWS
event/0e96b5c8,event/b79e8231,FOLLOWS
event/b79e8231,event/3c9f6fa1,FOLLOWS
event/3c9f6fa1,event/de1c9ac7,FOLLOWS
event/de1c9ac7,event/f9f2d552,FOLLOWS
event/f9f2d552,event/d3219dae,FOLLOWS
event/d3219dae,event/75d7d346,FOLLOWS
event/75d7d346,event/c1258294,FOLLOWS
event/c1258294,event/619ac9d8,FOLLOWS
event/619ac9d8,event/05e19e5c,FOLLOWS
event/05e19e5c,event/028d1d7d,FOLLOWS
event/028d1d7d,event/cb945c75,FOLLOWS
event/cb945c75,event/e0c93e9e,FOLLOWS
event/e0c93e9e,event/2b23369f,FOLLOWS
event/2b23369f,event/63807daa,FOLLOWS
event/63807daa,event/be15c4bd,FOLLOWS
event/be15c4bd,event/d49640b9,FOLLOWS
event/d49640b9,event/7a769ef2,FOLLOWS
event/7a769ef2,event/8c76108f,FOLLOWS
event/8c76108f,event/e2c634ff,FOLLOWS
event/e2c634ff,event/8fd765c3,FOLLOWS
event/8fd765c3,event/bb59ccdd,FOLLOWS
event/bb59ccdd,event/3655a6c5,FOLLOWS
