:START_ID,:END_ID,:TYPE,weight
why_fear/50b7324c,event/b66205b0,MOTIVATES,1.0
why_threat/468c7aed,event/b44d4656,MOTIVATES,1.0
why_aggression/d86808ae,event/5448e3cf,MOTIVATES,1.0
why_fear/ed32e842,event/cb81917f,MOTIVATES,1.0
why_hunger/2b8228ca,event/32240244,MOTIVATES,1.0
why_fear/6d1a33d1,event/f05b6e79,MOTIVATES,1.0
why_need/cbb78cdf,event/a30e9de2,MOTIVATES,1.0
why_coercion/e5d9fe51,event/86d2696c,MOTIVATES,1.0
why_fear/8e579017,event/cce98a3d,MOTIVATES,1.0
why_intimidation/3f099949,event/191bead5,MOTIVATES,1.0
why_threat/982a82b5,event/245c5059,MOTIVATES,1.0
why_threat/102a85c4,event/7311ba2f,MOTIVATES,1.0
why_fear/85cebae3,event/361affd3,MOTIVATES,1.0
why_cold/85b8fa5b,event/3bb5d2fa,MOTIVATES,1.0
why_discomfort/da480c22,event/3bb5d2fa,MOTIVATES,1.0
why_fear/f7e54b4a,event/98b80e9a,MOTIVATES,1.0
why_fear/b25ece00,event/254790fd,MOTIVATES,1.0
why_fellow-sufferers/07484536,event/0e96b5c8,MOTIVATES,1.0
why_frustration/41a8049d,event/cb945c75,MOTIVATES,1.0
why_fear_of_dreadful_acquaintance/56034bb6,event/7a769ef2,MOTIVATES,1.0
why_strict_housekeeping/26c2db51,event/7a769ef2,MOTIVATES,1.0
why_friendly_habit/48b3c135,event/8c76108f,MOTIVATES,1.0
why_good-natured_companionship/3228ea6d,event/8c76108f,MOTIVATES,1.0
why_concern_for_philip_pirrip/9595172d,event/e2c634ff,MOTIVATES,1.0
why_concern_for_health/3a95b326,event/8fd765c3,MOTIVATES,1.0
why_frustration/b1c06ab1,event/bb59ccdd,MOTIVATES,1.0
why_desperation/6a0fb4bc,event/bb59ccdd,MOTIVATES,1.0
why_desperation/7be6ffed,event/3655a6c5,MOTIVATES,1.0
why_helplessness/0527fc2b,event/4652812a,MOTIVATES,1.0
why_friendship/6a923a59,event/fa0b2e14,MOTIVATES,1.0
why_anger/808f95e2,event/969b94d7,MOTIVATES,1.0
why_belief_in_medicine/81a9a0da,event/8f3c8860,MOTIVATES,1.0
why_health_precaution/565026ce,event/4cd4ae28,MOTIVATES,1.0
why_discomfort/dc887b38,event/31174efd,MOTIVATES,1.0
why_fear_of_the_convict/2b1eb188,event/17228152,MOTIVATES,1.0
why_frustration/84f623ad,event/adf0a5c6,MOTIVATES,1.0
why_fear/422e7fcd,event/fda6132c,MOTIVATES,1.0
why_fear/08ca42fd,event/a5817c0c,MOTIVATES,1.0
why_fear/382b652d,event/7ab464ba,MOTIVATES,1.0
why_fear/b27a7a2a,event/81f41bc1,MOTIVATES,1.0
why_fear/66e662cb,event/93eeb5f5,MOTIVATES,1.0
why_desperation/81be93b3,event/93eeb5f5,MOTIVATES,1.0
why_fear/45956ef5,event/8e794986,MOTIVATES,1.0
