:START_ID,:END_ID,:TYPE,strength
agent_philip_pirrip/4f4e119f,event/da5e455c,ACTS_IN,1.0
agent_philip_pirrip/d872e02f,event/f48376a6,ACTS_IN,1.0
agent_philip_pirrip/429d7196,event/b1ecb6d3,ACTS_IN,1.0
agent_joe_gargery/47a79a34,event/21b0ff15,ACTS_IN,1.0
agent_joe_gargery/798abe00,event/21b0ff15,ACTS_IN,1.0
agent_philip_pirrip/299851db,event/fe262c0f,ACTS_IN,1.0
agent_philip_pirrip/dd277345,event/5dcb93c5,ACTS_IN,1.0
agent_philip_pirrip/29a73703,event/ac3ad326,ACTS_IN,1.0
agent_philip_pirrip/7b9444ea,event/41d98a2d,ACTS_IN,1.0
agent_philip_pirrip/e0c1cb0e,event/c3da3699,ACTS_IN,1.0
agent_philip_pirrip/1ecc088b,event/11f23c14,ACTS_IN,1.0
agent_philip_pirrip/ea2012ab,event/31b767ce,ACTS_IN,1.0
agent_philip_pirrip/c7dcd369,event/79d8fec1,ACTS_IN,1.0
agent_philip_pirrip/c98e3c2f,event/4709db0c,ACTS_IN,1.0
agent_philip_pirrip/0a60ffc4,event/1030011c,ACTS_IN,1.0
agent_philip_pirrip/d8608415,event/ddd33616,ACTS_IN,1.0
agent_abel_magwitch/24a8ba84,event/50c98f01,ACTS_IN,1.0
agent_abel_magwitch/18d8046f,event/71899cf6,ACTS_IN,1.0
agent_abel_magwitch/fdfb59fd,event/dced6ad2,ACTS_IN,1.0
agent_abel_magwitch/6b940be4,event/1f27c7ae,ACTS_IN,1.0
agent_abel_magwitch/4d5d29b4,event/384e1efb,ACTS_IN,1.0
agent_philip_pirrip/fa8638e5,event/6badbb21,ACTS_IN,1.0
agent_philip_pirrip/302258fe,event/a1394c97,ACTS_IN,1.0
agent_abel_magwitch/884a8c6b,event/bf96f55d,ACTS_IN,1.0
agent_philip_pirrip/276c101a,event/66630aec,ACTS_IN,1.0
agent_abel_magwitch/90934214,event/2812a7db,ACTS_IN,1.0
agent_philip_pirrip/a7ddb076,event/bd312622,ACTS_IN,1.0
agent_abel_magwitch/aa426f39,event/11e59813,ACTS_IN,1.0
agent_philip_pirrip/53b0e6aa,event/b884f738,ACTS_IN,1.0
agent_abel_magwitch/b098de04,event/d5ecc23e,ACTS_IN,1.0
agent_abel_magwitch/6bf668ce,event/6c758760,ACTS_IN,1.0
agent_abel_magwitch/a3ad7f40,event/1f73f96c,ACTS_IN,1.0
agent_philip_pirrip/b59abd3a,event/3c7cdbd2,ACTS_IN,1.0
agent_abel_magwitch/423febc4,event/23a043b6,ACTS_IN,1.0
agent_abel_magwitch/416b543b,event/0942097e,ACTS_IN,1.0
agent_philip_pirrip/ed8e2c88,event/e9fb8bb5,ACTS_IN,1.0
agent_philip_pirrip/ade2767a,event/dd32a2bc,ACTS_IN,1.0
agent_abel_magwitch/df10d69d,event/9d8e379e,ACTS_IN,1.0
agent_philip_pirrip/c0a48c8a,event/7038d8e5,ACTS_IN,1.0
agent_abel_magwitch/f084a5fb,event/9c9b9b15,ACTS_IN,1.0
agent_philip_pirrip/624ebd9a,event/390241c8,ACTS_IN,1.0
agent_abel_magwitch/34ea396c,event/94901495,ACTS_IN,1.0
agent_abel_magwitch/8e35280b,event/890c4308,ACTS_IN,1.0
agent_philip_pirrip/ba1816d7,event/a1ef9dc1,ACTS_IN,1.0
agent_abel_magwitch/fdd2bd25,event/7cedf3fe,ACTS_IN,1.0
agent_abel_magwitch/a001b0ce,event/dcdcdd80,ACTS_IN,1.0
agent_philip_pirrip/da1073b6,event/83c900d5,ACTS_IN,1.0
agent_abel_magwitch/1f043774,event/ad13512c,ACTS_IN,1.0
agent_abel_magwitch/fd3a81d4,event/77b1a1c8,ACTS_IN,1.0
agent_abel_magwitch/f01e2a64,event/7453fce7,ACTS_IN,1.0
agent_philip_pirrip/2903a8b9,event/e9faf8d3,ACTS_IN,1.0
agent_abel_magwitch/0e78a254,event/8ad571ce,ACTS_IN,1.0
agent_philip_pirrip/01e99917,event/15c050ec,ACTS_IN,1.0
agent_abel_magwitch/f5f202c5,event/c74b6510,ACTS_IN,1.0
agent_abel_magwitch/540f7eac,event/7276b786,ACTS_IN,1.0
agent_abel_magwitch/4159b8f0,event/9fe14cf6,ACTS_IN,1.0
agent_abel_magwitch/c5d021cc,event/64d69630,ACTS_IN,1.0
agent_abel_magwitch/4d70109b,event/b1f50201,ACTS_IN,1.0
agent_philip_pirrip/c9f29037,event/3dbec860,ACTS_IN,1.0
agent_philip_pirrip/8e87bc85,event/ee175aff,ACTS_IN,1.0
agent_abel_magwitch/7bb252fa,event/45a36176,ACTS_IN,1.0
agent_abel_magwitch/87a3d8b4,event/44b20640,ACTS_IN,1.0
agent_abel_magwitch/12d41ef4,event/588a95dd,ACTS_IN,1.0
agent_abel_magwitch/04b08c5d,event/a67ac38f,ACTS_IN,1.0
agent_abel_magwitch/cb5df34c,event/9a536f3b,ACTS_IN,1.0
agent_abel_magwitch/e2559e4d,event/add4c5e9,ACTS_IN,1.0
agent_philip_pirrip/2e382d6c,event/4775b85d,ACTS_IN,1.0
agent_abel_magwitch/64effe93,event/6db57233,ACTS_IN,1.0
agent_philip_pirrip/1ce4c074,event/2ad4fe56,ACTS_IN,1.0
agent_abel_magwitch/d5debdbe,event/84a18d11,ACTS_IN,1.0
agent_abel_magwitch/ecac4841,event/3f5d4b3b,ACTS_IN,1.0
agent_philip_pirrip/649199aa,event/92e273df,ACTS_IN,1.0
agent_abel_magwitch/48f5bbb2,event/a17486f0,ACTS_IN,1.0
agent_abel_magwitch/4840b1ca,event/5006ab7a,ACTS_IN,1.0
agent_abel_magwitch/fa0905f0,event/95b11012,ACTS_IN,1.0
agent_abel_magwitch/1dee6223,event/4f57a0ac,ACTS_IN,1.0
agent_philip_pirrip/d846b385,event/b340f762,ACTS_IN,1.0
agent_abel_magwitch/248e47af,event/4dc48bd8,ACTS_IN,1.0
agent_abel_magwitch/8b1a34e9,event/50dadcb3,ACTS_IN,1.0
agent_philip_pirrip/2623c1eb,event/b3fdfdce,ACTS_IN,1.0
agent_philip_pirrip/9539b69c,event/e1de3e0e,ACTS_IN,1.0
agent_philip_pirrip/956d4381,event/2d6c99ac,ACTS_IN,1.0
agent_abel_magwitch/3550e446,event/3b1c047b,ACTS_IN,1.0
agent_philip_pirrip/799db211,event/7e16c662,ACTS_IN,1.0
agent_philip_pirrip/e498115c,event/86dc6e88,ACTS_IN,1.0
agent_philip_pirrip/8f10cfcb,event/b2a9c0ce,ACTS_IN,1.0
agent_philip_pirrip/91fb7766,event/57051082,ACTS_IN,1.0
agent_philip_pirrip/e1455193,event/fccc78d8,ACTS_IN,1.0
agent_philip_pirrip/8a10877a,event/877d2488,ACTS_IN,1.0
agent_philip_pirrip/c0074cf7,event/d132ec92,ACTS_IN,1.0
