:START_ID,:END_ID,:TYPE,strength
agent_joe_gargery/972d20d5,event/b1ecb6d3,AFFECTED_IN,1.0
agent_philip_pirrip/27e83d0b,event/fe262c0f,AFFECTED_IN,1.0
agent_philip_pirrip/f5a761ec,event/fe262c0f,AFFECTED_IN,1.0
agent_philip_pirrip/ce2e82e9,event/5dcb93c5,AFFECTED_IN,1.0
agent_philip_pirrip/428ac565,event/5dcb93c5,AFFECTED_IN,1.0
agent_philip_pirrip/1158de42,event/ac3ad326,AFFECTED_IN,1.0
agent_philip_pirrip/77efe256,event/41d98a2d,AFFECTED_IN,1.0
agent_philip_pirrip/8e664506,event/c3da3699,AFFECTED_IN,1.0
agent_philip_pirrip/fbde377d,event/c3da3699,AFFECTED_IN,1.0
agent_philip_pirrip/defca499,event/c3da3699,AFFECTED_IN,1.0
agent_philip_pirrip/938f9a1f,event/c3da3699,AFFECTED_IN,1.0
agent_philip_pirrip/c4a7fca0,event/c3da3699,AFFECTED_IN,1.0
agent_philip_pirrip/d10332a2,event/31b767ce,AFFECTED_IN,1.0
agent_philip_pirrip/ff886ee3,event/31b767ce,AFFECTED_IN,1.0
agent_philip_pirrip/d8de46d1,event/79d8fec1,AFFECTED_IN,1.0
agent_philip_pirrip/81ba62d7,event/79d8fec1,AFFECTED_IN,1.0
agent_philip_pirrip/379e6b8d,event/79d8fec1,AFFECTED_IN,1.0
agent_philip_pirrip/64481f2e,event/79d8fec1,AFFECTED_IN,1.0
agent_philip_pirrip/b4ad9951,event/79d8fec1,AFFECTED_IN,1.0
agent_philip_pirrip/6d3a6847,event/1030011c,AFFECTED_IN,1.0
agent_philip_pirrip/6f6b2733,event/1f27c7ae,AFFECTED_IN,1.0
agent_philip_pirrip/4dc1b314,event/384e1efb,AFFECTED_IN,1.0
agent_abel_magwitch/0ec2aca7,event/6badbb21,AFFECTED_IN,1.0
agent_philip_pirrip/001bde0c,event/bf96f55d,AFFECTED_IN,1.0
agent_abel_magwitch/f3a799d5,event/66630aec,AFFECTED_IN,1.0
agent_philip_pirrip/02f238de,event/2812a7db,AFFECTED_IN,1.0
agent_abel_magwitch/da86276c,event/bd312622,AFFECTED_IN,1.0
agent_philip_pirrip/475ffc84,event/11e59813,AFFECTED_IN,1.0
agent_philip_pirrip/f961cdaf,event/d5ecc23e,AFFECTED_IN,1.0
agent_philip_pirrip/a53ba153,event/6c758760,AFFECTED_IN,1.0
agent_philip_pirrip/be6b66f9,event/23a043b6,AFFECTED_IN,1.0
agent_philip_pirrip/18d4263f,event/0942097e,AFFECTED_IN,1.0
agent_abel_magwitch/0c4ad9a4,event/e9fb8bb5,AFFECTED_IN,1.0
agent_philip_pirrip/df283b14,event/9d8e379e,AFFECTED_IN,1.0
agent_abel_magwitch/a659ebc6,event/7038d8e5,AFFECTED_IN,1.0
agent_abel_magwitch/9cf45e67,event/390241c8,AFFECTED_IN,1.0
agent_philip_pirrip/ada4fd66,event/890c4308,AFFECTED_IN,1.0
agent_abel_magwitch/75106bd4,event/a1ef9dc1,AFFECTED_IN,1.0
agent_philip_pirrip/7e024451,event/dcdcdd80,AFFECTED_IN,1.0
agent_abel_magwitch/a59b8937,event/83c900d5,AFFECTED_IN,1.0
agent_philip_pirrip/4d9e4982,event/77b1a1c8,AFFECTED_IN,1.0
agent_philip_pirrip/a1569a35,event/7453fce7,AFFECTED_IN,1.0
agent_abel_magwitch/ae4c1c07,event/e9faf8d3,AFFECTED_IN,1.0
agent_philip_pirrip/0f49fddd,event/8ad571ce,AFFECTED_IN,1.0
agent_abel_magwitch/408ade99,event/15c050ec,AFFECTED_IN,1.0
agent_philip_pirrip/b6e38aed,event/c74b6510,AFFECTED_IN,1.0
agent_philip_pirrip/c185939f,event/7276b786,AFFECTED_IN,1.0
agent_philip_pirrip/e7f4b45e,event/9fe14cf6,AFFECTED_IN,1.0
agent_philip_pirrip/0257203d,event/64d69630,AFFECTED_IN,1.0
agent_philip_pirrip/7aa37b4f,event/b1f50201,AFFECTED_IN,1.0
