:START_ID,:END_ID,:TYPE
event/da5e455c,event/f48376a6,FOLLOWS
event/f48376a6,event/b1ecb6d3,FOLLOWS
event/b1ecb6d3,event/21b0ff15,FOLLOWS
event/21b0ff15,event/fe262c0f,FOLLOWS
event/fe262c0f,event/5dcb93c5,FOLLOWS
event/5dcb93c5,event/ac3ad326,FOLLOWS
event/ac3ad326,event/41d98a2d,FOLLOWS
event/41d98a2d,event/c3da3699,FOLLOWS
event/c3da3699,event/11f23c14,FOLLOWS
event/11f23c14,event/31b767ce,FOLLOWS
event/31b767ce,event/79d8fec1,FOLLOWS
event/79d8fec1,event/4709db0c,FOLLOWS
event/4709db0c,event/1030011c,FOLLOWS
event/1030011c,event/ddd33616,FOLLOWS
event/ddd33616,event/50c98f01,FOLLOWS
event/50c98f01,event/71899cf6,FOLLOWS
event/71899cf6,event/dced6ad2,FOLLOWS
event/dced6ad2,event/1f27c7ae,FOLLOWS
event/1f27c7ae,event/384e1efb,FOLLOWS
event/384e1efb,event/6badbb21,FOLLOWS
event/6badbb21,event/a1394c97,FOLLOWS
event/a1394c97,event/bf96f55d,FOLLOWS
event/bf96f55d,event/66630aec,FOLLOWS
event/66630aec,event/2812a7db,FOLLOWS
event/2812a7db,event/bd312622,FOLLOWS
event/bd312622,event/11e59813,FOLLOWS
event/11e59813,event/b884f738,FOLLOWS
event/b884f738,event/d5ecc23e,FOLLOWS
event/d5ecc23e,event/6c758760,FOLLOWS
event/6c758760,event/1f73f96c,FOLLOWS
event/1f73f96c,event/3c7cdbd2,FOLLOWS
event/3c7cdbd2,event/23a043b6,FOLLOWS
event/23a043b6,event/0942097e,FOLLOWS
event/0942097e,event/e9fb8bb5,FOLLOWS
event/e9fb8bb5,event/dd32a2bc,FOLLOWS
event/dd32a2bc,event/9d8e379e,FOLLOWS
event/9d8e379e,event/7038d8e5,FOLLOWS
event/7038d8e5,event/9c9b9b15,FOLLOWS
event/9c9b9b15,event/390241c8,FOLLOWS
event/390241c8,event/94901495,FOLLOWS
event/94901495,event/890c4308,FOLLOWS
event/890c4308,event/a1ef9dc1,FOLLOWS
event/a1ef9dc1,event/7cedf3fe,FOLLOWS
event/7cedf3fe,event/dcdcdd80,FOLLOWS
event/dcdcdd80,event/83c900d5,FOLLOWS
event/83c900d5,event/ad13512c,FOLLOWS
event/ad13512c,event/77b1a1c8,FOLLOWS
event/77b1a1c8,event/7453fce7,FOLLOWS
event/7453fce7,event/e9faf8d3,FOLLOWS
event/e9faf8d3,event/8ad571ce,FOLLOWS
event/8ad571ce,event/15c050ec,FOLLOWS
event/15c050ec,event/c74b6510,FOLLOWS
event/c74b6510,event/7276b786,FOLLOWS
event/7276b786,event/9fe14cf6,FOLLOWS
event/9fe14cf6,event/64d69630,FOLLOWS
event/64d69630,event/b1f50201,FOLLOWS
event/b1f50201,event/3dbec860,FOLLOWS
event/3dbec860,event/ee175aff,FOLLOWS
event/ee175aff,event/45a36176,FOLLOWS
event/45a36176,event/44b20640,FOLLOWS
event/44b20640,event/588a95dd,FOLLOWS
event/588a95dd,event/a67ac38f,FOLLOWS
event/a67ac38f,event/9a536f3b,FOLLOWS
event/9a536f3b,event/add4c5e9,FOLLOWS
event/add4c5e9,event/4775b85d,FOLLOWS
event/4775b85d,event/6db57233,FOLLOWS
event/6db57233,event/2ad4fe56,FOLLOWS
event/2ad4fe56,event/84a18d11,FOLLOWS
event/84a18d11,event/3f5d4b3b,FOLLOWS
event/3f5d4b3b,event/92e273df,FOLLOWS
event/92e273df,event/a17486f0,FOLLOWS
event/a17486f0,event/5006ab7a,FOLLOWS
event/5006ab7a,event/95b11012,FOLLOWS
event/95b11012,event/4f57a0ac,FOLLOWS
event/4f57a0ac,event/b340f762,FOLLOWS
event/b340f762,event/4dc48bd8,FOLLOWS
event/4dc48bd8,event/50dadcb3,FOLLOWS
event/50dadcb3,event/b3fdfdce,FOLLOWS
event/b3fdfdce,event/e1de3e0e,FOLLOWS
event/e1de3e0e,event/2d6c99ac,FOLLOWS
event/2d6c99ac,event/3b1c047b,FOLLOWS
event/3b1c047b,event/7e16c662,FOLLOWS
event/7e16c662,event/86dc6e88,FOLLOWS
event/86dc6e88,event/b2a9c0ce,FOLLOWS
event/b2a9c0ce,event/57051082,FOLLOWS
event/57051082,event/fccc78d8,FOLLOWS
event/fccc78d8,event/877d2488,FOLLOWS
event/877d2488,event/d132ec92,FOLLOWS
