:START_ID,:END_ID,:TYPE,theme,source_role,target_role,source_involvement,target_involvement,source_confidence,target_confidence,confidence,via,scene_id,sequence_distance
event/9fe14cf6,event/64d69630,THEMATIC_LINK,POWER,initiating,escalating,direct,direct,0.9,0.9,0.9,causal:EVENT_REINFORCEMENT,,1
event/9fe14cf6,event/64d69630,THEMATIC_LINK,WEALTH,enabling,enabling,indirect,indirect,0.65,0.7,0.6745,causal:EVENT_REINFORCEMENT,,1
event/9fe14cf6,event/64d69630,THEMATIC_LINK,KNOWLEDGE,mediating,revealing,indirect,direct,0.492,0.82,0.6352,causal:EVENT_REINFORCEMENT,,1
event/4dc48bd8,event/e1de3e0e,THEMATIC_LINK,KNOWLEDGE,enabling,revealing,indirect,direct,0.58,0.86,0.7063,causal:EVENT_ENABLES_NEXT,,3
event/15c050ec,event/9fe14cf6,THEMATIC_LINK,POWER,enabling,initiating,indirect,direct,0.7,0.9,0.7937,causal:SCENE_CAUSATION,,3
event/15c050ec,event/9fe14cf6,THEMATIC_LINK,WEALTH,enabling,enabling,indirect,indirect,0.55,0.65,0.5979,causal:SCENE_CAUSATION,,3
event/15c050ec,event/9fe14cf6,THEMATIC_LINK,KNOWLEDGE,revealing,mediating,direct,indirect,0.87,0.492,0.6542,causal:SCENE_CAUSATION,,3
event/ddd33616,event/71899cf6,THEMATIC_LINK,POWER,mediating,initiating,indirect,direct,0.408,0.68,0.5267,causal:SCENE_CAUSATION,,2
event/ddd33616,event/71899cf6,THEMATIC_LINK,JUSTICE,mediating,initiating,indirect,direct,0.468,0.78,0.6042,causal:SCENE_CAUSATION,,2
event/ddd33616,event/71899cf6,THEMATIC_LINK,KNOWLEDGE,enabling,revealing,indirect,direct,0.7,0.62,0.6588,causal:SCENE_CAUSATION,,2
event/2812a7db,event/bd312622,THEMATIC_LINK,POWER,escalating,resolving,direct,indirect,0.9,0.7,0.7937,causal:PSYCHOLOGICAL_PRESSURE,,1
event/2812a7db,event/bd312622,THEMATIC_LINK,KNOWLEDGE,enabling,revealing,indirect,direct,0.62,0.78,0.6954,causal:PSYCHOLOGICAL_PRESSURE,,1
event/77b1a1c8,event/588a95dd,THEMATIC_LINK,POWER,initiating,initiating,direct,direct,0.9,0.9,0.9,causal:PSYCHOLOGICAL_PRESSURE,,14
event/77b1a1c8,event/588a95dd,THEMATIC_LINK,WEALTH,enabling,enabling,indirect,indirect,0.6,0.68,0.6387,causal:PSYCHOLOGICAL_PRESSURE,,14
event/77b1a1c8,event/588a95dd,THEMATIC_LINK,JUSTICE,initiating,enabling,direct,indirect,0.62,0.55,0.584,causal:PSYCHOLOGICAL_PRESSURE,,14
event/77b1a1c8,event/588a95dd,THEMATIC_LINK,KNOWLEDGE,mediating,revealing,indirect,direct,0.54,0.9,0.6971,causal:PSYCHOLOGICAL_PRESSURE,,14
event/7453fce7,event/15c050ec,THEMATIC_LINK,POWER,initiating,enabling,direct,indirect,0.9,0.7,0.7937,causal:PSYCHOLOGICAL_PRESSURE,,3
event/7453fce7,event/15c050ec,THEMATIC_LINK,JUSTICE,initiating,mediating,direct,indirect,0.9,0.54,0.6971,causal:PSYCHOLOGICAL_PRESSURE,,3
event/7453fce7,event/15c050ec,THEMATIC_LINK,KNOWLEDGE,revealing,revealing,direct,direct,0.68,0.87,0.7692,causal:PSYCHOLOGICAL_PRESSURE,,3
